movieId,tmdbId,title
1,862,Toy Story (1995)
2,8844,Jumanji (1995)
3,15602,Grumpier Old Men (1995)
4,31357,Waiting to Exhale (1995)
5,11862,Father of the Bride Part II (1995)
6,949,Heat (1995)
7,11860,Sabrina (1995)
8,45325,Tom and Huck (1995)
9,9091,Sudden Death (1995)
10,710,GoldenEye (1995)
11,9087,"American President, The (1995)"
12,12110,Dracula: Dead and Loving It (1995)
13,21032,Balto (1995)
14,10858,Nixon (1995)
15,1408,Cutthroat Island (1995)
16,524,Casino (1995)
17,4584,Sense and Sensibility (1995)
18,5,Four Rooms (1995)
19,9273,Ace Ventura: When Nature Calls (1995)
20,11517,Money Train (1995)
21,8012,Get Shorty (1995)
22,1710,Copycat (1995)
23,9691,Assassins (1995)
24,12665,Powder (1995)
25,451,Leaving Las Vegas (1995)
26,16420,Othello (1995)
27,9263,Now and Then (1995)
28,17015,Persuasion (1995)
29,902,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
30,37557,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
31,9909,Dangerous Minds (1995)
32,63,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
33,78802,Wings of Courage (1995)
34,9598,Babe (1995)
35,47018,Carrington (1995)
36,687,Dead Man Walking (1995)
37,139405,Across the Sea of Time (1995)
38,33689,It Takes Two (1995)
39,9603,Clueless (1995)
40,34615,"Cry, the Beloved Country (1995)"
41,31174,Richard III (1995)
42,11443,Dead Presidents (1995)
43,35196,Restoration (1995)
44,9312,Mortal Kombat (1995)
45,577,To Die For (1995)
46,11861,How to Make an American Quilt (1995)
47,807,Seven (a.k.a. Se7en) (1995)
48,10530,Pocahontas (1995)
49,8391,When Night Is Falling (1995)
50,629,"Usual Suspects, The (1995)"
51,117164,Guardian Angel (1994)
52,11448,Mighty Aphrodite (1995)
53,49133,Lamerica (1994)
54,26441,"Big Green, The (1995)"
55,97406,Georgia (1995)
56,124057,Kids of the Round Table (1995)
57,9089,Home for the Holidays (1995)
58,11010,"Postman, The (Postino, Il) (1994)"
59,99040,"Confessional, The (Confessionnal, Le) (1995)"
60,11359,"Indian in the Cupboard, The (1995)"
61,17182,Eye for an Eye (1996)
62,2054,Mr. Holland's Opus (1995)
63,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
64,19760,Two if by Sea (1996)
65,9536,Bio-Dome (1996)
